Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,0.225,0.23,0.21,0.225,988000,0.225
2015-08-17,0.25,0.25,0.23,0.23,395000,0.23
2015-08-14,0.26,0.26,0.245,0.245,263100,0.245
2015-08-13,0.26,0.265,0.26,0.26,230900,0.26
2015-08-12,0.26,0.265,0.26,0.26,409500,0.26
2015-08-11,0.265,0.275,0.265,0.265,65000,0.265
2015-08-10,0.28,0.28,0.27,0.275,228000,0.275
2015-08-07,0.28,0.285,0.28,0.285,150000,0.285
2015-08-06,0.285,0.285,0.28,0.285,383000,0.285
2015-08-05,0.285,0.285,0.285,0.285,167000,0.285
2015-08-04,0.285,0.285,0.285,0.285,40000,0.285
2015-08-03,0.285,0.285,0.285,0.285,48000,0.285
2015-07-31,0.285,0.285,0.28,0.285,84500,0.285
2015-07-30,0.29,0.29,0.285,0.285,119000,0.285
2015-07-29,0.29,0.29,0.285,0.285,154000,0.285
2015-07-28,0.295,0.295,0.29,0.295,444000,0.295
2015-07-27,0.295,0.295,0.295,0.295,441000,0.295
2015-07-24,0.29,0.305,0.29,0.30,80000,0.30
2015-07-23,0.295,0.30,0.295,0.295,232200,0.295
2015-07-22,0.295,0.295,0.295,0.295,119000,0.295
2015-07-21,0.305,0.305,0.30,0.30,151400,0.30
2015-07-20,0.295,0.30,0.295,0.30,211200,0.30
2015-07-17,0.29,0.29,0.29,0.29,000,0.29
2015-07-16,0.29,0.29,0.29,0.29,60000,0.29
2015-07-15,0.285,0.29,0.285,0.29,41500,0.29
2015-07-14,0.29,0.295,0.29,0.29,300000,0.29
2015-07-13,0.28,0.29,0.28,0.29,120600,0.29
2015-07-10,0.285,0.29,0.28,0.28,143500,0.28
2015-07-09,0.28,0.285,0.275,0.285,57600,0.285
2015-07-08,0.285,0.285,0.275,0.285,657500,0.285
2015-07-07,0.29,0.29,0.285,0.285,304400,0.285
2015-07-06,0.30,0.30,0.29,0.29,558500,0.29
2015-07-03,0.315,0.315,0.305,0.305,346600,0.305
2015-07-02,0.305,0.325,0.30,0.31,2812100,0.31
2015-07-01,0.29,0.30,0.29,0.295,220000,0.295
2015-06-30,0.285,0.29,0.285,0.29,155000,0.29
2015-06-29,0.285,0.285,0.28,0.28,629000,0.28
2015-06-26,0.29,0.29,0.285,0.285,128000,0.285
2015-06-25,0.295,0.295,0.29,0.29,154000,0.29
2015-06-24,0.30,0.305,0.295,0.295,242000,0.295
2015-06-23,0.30,0.31,0.295,0.30,949900,0.30
2015-06-22,0.28,0.28,0.28,0.28,000,0.28
2015-06-19,0.285,0.285,0.28,0.28,117000,0.28
2015-06-18,0.28,0.28,0.28,0.28,242900,0.28
2015-06-17,0.28,0.285,0.28,0.285,64500,0.285
2015-06-16,0.28,0.28,0.275,0.28,252100,0.28
2015-06-15,0.285,0.285,0.28,0.28,137900,0.28
2015-06-12,0.29,0.29,0.285,0.285,105000,0.285
2015-06-11,0.29,0.295,0.29,0.29,238100,0.29
2015-06-10,0.295,0.295,0.29,0.29,353300,0.29
2015-06-09,0.295,0.295,0.29,0.29,89000,0.29
2015-06-08,0.295,0.30,0.295,0.30,88200,0.30
2015-06-05,0.295,0.30,0.295,0.30,200000,0.30
2015-06-04,0.30,0.305,0.295,0.295,131300,0.295
2015-06-03,0.295,0.295,0.295,0.295,21500,0.295
2015-06-02,0.295,0.295,0.29,0.295,127600,0.295
2015-06-01,0.29,0.295,0.29,0.295,92000,0.295
2015-05-29,0.295,0.295,0.29,0.29,15000,0.29
2015-05-28,0.29,0.29,0.29,0.29,53000,0.29
2015-05-27,0.29,0.295,0.29,0.295,177000,0.295
2015-05-26,0.29,0.295,0.29,0.295,112400,0.295
2015-05-25,0.295,0.295,0.295,0.295,322000,0.295
2015-05-22,0.295,0.30,0.295,0.30,170000,0.30
2015-05-21,0.30,0.30,0.295,0.295,290600,0.295
2015-05-20,0.30,0.30,0.30,0.30,49900,0.30
2015-05-19,0.295,0.30,0.295,0.30,320800,0.30
2015-05-18,0.295,0.30,0.295,0.30,186600,0.30
2015-05-15,0.29,0.295,0.29,0.295,85000,0.295
2015-05-14,0.295,0.30,0.295,0.30,116000,0.30
2015-05-13,0.295,0.295,0.29,0.29,239600,0.29
2015-05-12,0.29,0.295,0.29,0.295,40000,0.295
2015-05-11,0.29,0.295,0.29,0.295,118300,0.295
2015-05-08,0.295,0.295,0.29,0.29,426900,0.29
2015-05-07,0.295,0.295,0.295,0.295,150000,0.295
2015-05-06,0.295,0.295,0.29,0.295,194900,0.295
2015-05-05,0.295,0.30,0.295,0.30,57000,0.30
2015-05-04,0.295,0.295,0.295,0.295,000,0.295
2015-05-01,0.295,0.295,0.295,0.295,000,0.295
2015-04-30,0.295,0.295,0.29,0.295,130000,0.295
2015-04-29,0.30,0.30,0.295,0.295,503900,0.295
2015-04-28,0.305,0.305,0.295,0.30,461500,0.30
2015-04-27,0.31,0.31,0.305,0.305,141000,0.305
2015-04-24,0.31,0.315,0.31,0.31,583700,0.31
2015-04-23,0.315,0.315,0.31,0.315,1066100,0.315
2015-04-22,0.325,0.325,0.31,0.315,629200,0.315
2015-04-21,0.325,0.325,0.32,0.325,564900,0.325
2015-04-20,0.325,0.325,0.32,0.325,603000,0.325
2015-04-17,0.33,0.34,0.32,0.325,5895300,0.325
2015-04-16,0.30,0.335,0.30,0.325,6111800,0.325
2015-04-15,0.30,0.30,0.29,0.30,314000,0.30
2015-04-14,0.295,0.295,0.295,0.295,142000,0.295
2015-04-13,0.30,0.30,0.295,0.295,143800,0.295
2015-04-10,0.295,0.30,0.295,0.30,118100,0.30
2015-04-09,0.29,0.30,0.29,0.29,195000,0.29
2015-04-08,0.295,0.295,0.29,0.29,103000,0.29
2015-04-07,0.29,0.295,0.29,0.29,177000,0.29
2015-04-06,0.29,0.295,0.29,0.29,7000,0.29
2015-04-03,0.295,0.295,0.295,0.295,6500,0.295
2015-04-02,0.30,0.30,0.29,0.29,196800,0.29
2015-04-01,0.29,0.30,0.29,0.30,5100,0.30
2015-03-31,0.295,0.30,0.29,0.30,190100,0.30
2015-03-30,0.295,0.30,0.29,0.295,133000,0.295
2015-03-27,0.30,0.30,0.295,0.30,88000,0.30
2015-03-26,0.29,0.295,0.29,0.295,170000,0.295
2015-03-25,0.29,0.29,0.29,0.29,52000,0.29
2015-03-24,0.30,0.30,0.29,0.29,212100,0.29
2015-03-23,0.295,0.30,0.295,0.30,92100,0.30
2015-03-20,0.295,0.30,0.295,0.30,165100,0.30
2015-03-19,0.29,0.295,0.29,0.295,130000,0.295
2015-03-18,0.295,0.295,0.295,0.295,86000,0.295
