Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,3.89,3.92,3.81,3.89,67400,3.89
2015-08-17,3.96,3.96,3.78,3.82,108900,3.82
2015-08-14,4.00,4.05,3.82,3.95,178200,3.95
2015-08-13,3.85,4.02,3.85,4.02,191500,4.02
2015-08-12,4.00,4.09,3.73,3.84,229300,3.84
2015-08-11,4.06,4.19,4.00,4.04,196300,4.04
2015-08-10,4.24,4.24,4.00,4.00,323500,4.00
2015-08-07,4.19,4.24,4.06,4.24,155500,4.24
2015-08-06,4.33,4.34,4.18,4.20,244700,4.20
2015-08-05,4.34,4.36,4.30,4.34,157700,4.34
2015-08-04,4.40,4.42,4.34,4.34,99200,4.34
2015-08-03,4.34,4.42,4.34,4.41,279500,4.41
2015-07-31,4.36,4.37,4.30,4.34,179700,4.34
2015-07-30,4.35,4.40,4.29,4.36,261300,4.36
2015-07-29,4.43,4.47,4.30,4.35,180400,4.35
2015-07-28,4.41,4.55,4.35,4.43,147900,4.43
2015-07-27,4.54,4.57,4.50,4.55,758800,4.55
2015-07-24,4.37,4.54,4.33,4.54,658500,4.54
2015-07-23,4.29,4.40,4.29,4.37,103200,4.37
2015-07-22,4.49,4.55,4.19,4.30,394400,4.30
2015-07-21,4.29,4.50,4.26,4.49,848400,4.49
2015-07-20,4.17,4.29,4.17,4.29,428600,4.29
2015-07-17,4.15,4.15,4.15,4.15,000,4.15
2015-07-16,4.17,4.18,4.11,4.15,134600,4.15
2015-07-15,4.17,4.26,4.17,4.20,259900,4.20
2015-07-14,4.07,4.32,4.06,4.16,915000,4.16
2015-07-13,3.91,4.06,3.90,4.06,569600,4.06
2015-07-10,3.70,3.87,3.70,3.87,324700,3.87
2015-07-09,3.66,3.70,3.66,3.69,156100,3.69
2015-07-08,3.80,3.80,3.66,3.69,243300,3.69
2015-07-07,3.75,3.82,3.75,3.82,249600,3.82
2015-07-06,3.76,3.80,3.72,3.78,215900,3.78
2015-07-03,3.76,3.83,3.76,3.80,201200,3.80
2015-07-02,3.76,3.79,3.74,3.74,188100,3.74
2015-07-01,3.73,3.86,3.71,3.75,418700,3.75
2015-06-30,3.74,3.77,3.72,3.73,185100,3.73
2015-06-29,3.88,3.88,3.67,3.70,538900,3.70
2015-06-26,3.95,3.96,3.84,3.87,251100,3.87
2015-06-25,3.95,4.13,3.92,3.95,492500,3.95
2015-06-24,3.80,3.94,3.73,3.94,1070900,3.94
2015-06-23,3.59,3.60,3.58,3.60,133600,3.60
2015-06-22,3.45,3.60,3.45,3.60,29100,3.60
2015-06-19,3.45,3.45,3.45,3.45,1000,3.45
2015-06-18,3.41,3.41,3.41,3.41,1000,3.41
2015-06-17,3.39,3.40,3.39,3.40,12500,3.40
2015-06-16,3.38,3.38,3.34,3.36,81000,3.36
2015-06-15,3.48,3.49,3.33,3.35,85600,3.35
2015-06-12,3.53,3.53,3.48,3.48,76500,3.48
