Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,0.155,0.16,0.15,0.155,2266900,0.155
2015-08-17,0.17,0.17,0.155,0.16,2304800,0.16
2015-08-14,0.185,0.19,0.17,0.175,1545100,0.175
2015-08-13,0.175,0.19,0.175,0.19,2663200,0.19
2015-08-12,0.19,0.19,0.175,0.18,3061500,0.18
2015-08-11,0.20,0.205,0.19,0.195,1781200,0.195
2015-08-10,0.20,0.20,0.19,0.20,2635100,0.20
2015-08-07,0.205,0.205,0.20,0.205,2663600,0.205
2015-08-06,0.215,0.215,0.205,0.21,2910200,0.21
2015-08-05,0.215,0.22,0.21,0.21,1769600,0.21
2015-08-04,0.215,0.22,0.21,0.21,1129100,0.21
2015-08-03,0.225,0.225,0.215,0.22,3167200,0.22
2015-07-31,0.225,0.225,0.22,0.225,2256000,0.225
2015-07-30,0.235,0.235,0.225,0.23,3962000,0.23
2015-07-29,0.24,0.24,0.23,0.23,1718300,0.23
2015-07-28,0.235,0.24,0.23,0.235,4269500,0.235
2015-07-27,0.23,0.24,0.23,0.235,7370200,0.235
2015-07-24,0.23,0.235,0.225,0.23,5537100,0.23
2015-07-23,0.235,0.24,0.23,0.235,4258900,0.235
2015-07-22,0.24,0.245,0.23,0.24,5507500,0.24
2015-07-21,0.22,0.25,0.22,0.245,12504800,0.245
2015-07-20,0.215,0.225,0.21,0.22,5417500,0.22
2015-07-17,0.21,0.21,0.21,0.21,000,0.21
2015-07-16,0.21,0.215,0.21,0.21,775000,0.21
2015-07-15,0.21,0.22,0.21,0.21,1679800,0.21
2015-07-14,0.215,0.22,0.21,0.21,2108300,0.21
2015-07-13,0.21,0.215,0.21,0.21,1337300,0.21
2015-07-10,0.215,0.215,0.21,0.21,1633400,0.21
2015-07-09,0.205,0.215,0.205,0.215,2406100,0.215
2015-07-08,0.21,0.21,0.20,0.205,2315000,0.205
2015-07-07,0.215,0.22,0.21,0.21,1604300,0.21
2015-07-06,0.21,0.215,0.205,0.21,2387900,0.21
2015-07-03,0.225,0.225,0.215,0.215,2120800,0.215
2015-07-02,0.23,0.23,0.22,0.225,2920400,0.225
2015-07-01,0.225,0.23,0.22,0.225,4307700,0.225
2015-06-30,0.21,0.225,0.21,0.22,4611100,0.22
2015-06-29,0.225,0.225,0.205,0.21,6178500,0.21
2015-06-26,0.23,0.245,0.23,0.23,3591800,0.23
2015-06-25,0.25,0.25,0.235,0.235,3182100,0.235
2015-06-24,0.255,0.26,0.245,0.255,6990800,0.255
2015-06-23,0.255,0.26,0.245,0.255,14884200,0.255
2015-06-22,0.22,0.25,0.22,0.25,17277400,0.25
2015-06-19,0.215,0.225,0.215,0.22,5708300,0.22
2015-06-18,0.205,0.215,0.205,0.215,3639700,0.215
2015-06-17,0.21,0.215,0.205,0.205,4011600,0.205
2015-06-16,0.20,0.215,0.20,0.21,4719500,0.21
2015-06-15,0.215,0.225,0.20,0.20,13515100,0.20
2015-06-12,0.225,0.225,0.22,0.22,1888700,0.22
