Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,0.87,0.87,0.87,0.87,000,0.87
2015-08-17,0.87,0.87,0.87,0.87,000,0.87
2015-08-14,0.87,0.87,0.87,0.87,000,0.87
2015-08-13,0.87,0.87,0.87,0.87,000,0.87
2015-08-12,0.87,0.87,0.87,0.87,000,0.87
2015-08-11,0.87,0.87,0.87,0.87,000,0.87
2015-08-10,0.87,0.87,0.87,0.87,000,0.87
2015-08-07,0.87,0.87,0.87,0.87,000,0.87
2015-08-06,0.87,0.87,0.87,0.87,000,0.87
2015-08-05,0.87,0.87,0.87,0.87,000,0.87
2015-08-04,0.87,0.87,0.87,0.87,2000,0.87
2015-08-03,0.82,0.82,0.82,0.82,000,0.82
2015-07-31,0.82,0.82,0.82,0.82,3800,0.82
2015-07-30,0.835,0.835,0.83,0.83,1000,0.83
2015-07-29,0.76,0.82,0.76,0.82,26700,0.82
2015-07-28,0.81,0.825,0.79,0.825,20000,0.825
2015-07-27,0.81,0.85,0.81,0.85,7000,0.85
2015-07-24,0.84,0.86,0.83,0.86,12500,0.86
2015-07-23,0.90,0.90,0.90,0.90,000,0.90
2015-07-22,0.82,0.90,0.82,0.90,13500,0.90
2015-07-21,0.90,0.90,0.90,0.90,000,0.90
2015-07-20,0.90,0.90,0.90,0.90,000,0.90
2015-07-17,0.90,0.90,0.90,0.90,000,0.90
2015-07-16,0.90,0.90,0.88,0.90,3700,0.90
2015-07-15,0.87,0.87,0.83,0.86,11400,0.86
2015-07-14,0.80,0.845,0.72,0.845,11900,0.845
2015-07-13,0.80,0.80,0.80,0.80,15000,0.80
2015-07-10,0.83,0.85,0.825,0.85,13000,0.85
2015-07-09,0.80,0.88,0.80,0.88,16000,0.88
2015-07-08,0.88,0.88,0.88,0.88,000,0.88
2015-07-07,0.81,0.88,0.81,0.88,6000,0.88
2015-07-06,0.86,0.86,0.86,0.86,000,0.86
2015-07-03,0.85,0.90,0.805,0.86,11600,0.86
2015-07-02,0.88,0.88,0.88,0.88,000,0.88
2015-07-01,0.88,0.88,0.88,0.88,000,0.88
2015-06-30,0.88,0.88,0.88,0.88,2000,0.88
2015-06-29,0.85,0.85,0.83,0.83,10000,0.83
2015-06-26,0.92,0.92,0.92,0.92,000,0.92
2015-06-25,0.92,0.92,0.92,0.92,000,0.92
2015-06-24,0.92,0.92,0.92,0.92,000,0.92
