Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,0.47,0.48,0.465,0.48,697500,0.48
2015-08-17,0.495,0.495,0.46,0.49,3716600,0.49
2015-08-14,0.495,0.50,0.45,0.495,3803000,0.495
2015-08-13,0.49,0.50,0.49,0.495,2380800,0.495
2015-08-12,0.515,0.515,0.49,0.49,2703100,0.49
2015-08-11,0.515,0.52,0.515,0.515,3222500,0.515
2015-08-10,0.52,0.52,0.505,0.515,3967900,0.515
2015-08-07,0.515,0.52,0.51,0.515,3944800,0.515
2015-08-06,0.55,0.55,0.51,0.515,5768500,0.515
2015-08-05,0.555,0.565,0.545,0.555,18857000,0.555
2015-08-04,0.57,0.585,0.545,0.555,38057500,0.555
2015-08-03,0.63,0.63,0.56,0.565,22591500,0.565
2015-07-31,0.64,0.655,0.64,0.645,26061200,0.645
2015-07-30,0.60,0.65,0.60,0.64,90673400,0.64
2015-07-29,0.575,0.605,0.575,0.595,34467900,0.595
2015-07-28,0.575,0.58,0.57,0.57,2501000,0.57
2015-07-27,0.575,0.575,0.57,0.575,6997800,0.575
2015-07-24,0.58,0.58,0.57,0.58,843300,0.58
2015-07-23,0.58,0.59,0.575,0.58,5747000,0.58
2015-07-22,0.575,0.585,0.57,0.58,3675900,0.58
2015-07-21,0.575,0.585,0.575,0.58,9525800,0.58
2015-07-20,0.57,0.58,0.57,0.58,4632000,0.58
2015-07-17,0.575,0.575,0.575,0.575,000,0.575
2015-07-16,0.565,0.58,0.565,0.575,975000,0.575
2015-07-15,0.58,0.58,0.57,0.575,2833700,0.575
2015-07-14,0.585,0.595,0.575,0.58,6399000,0.58
2015-07-13,0.585,0.585,0.575,0.575,1042800,0.575
2015-07-10,0.59,0.60,0.585,0.59,3638400,0.59
2015-07-09,0.57,0.60,0.565,0.59,17869200,0.59
2015-07-08,0.575,0.575,0.57,0.57,2159700,0.57
2015-07-07,0.585,0.585,0.565,0.58,1681400,0.58
2015-07-06,0.60,0.60,0.575,0.585,1418000,0.585
2015-07-03,0.585,0.615,0.585,0.605,28443900,0.605
2015-07-02,0.585,0.585,0.57,0.58,2873300,0.58
2015-07-01,0.585,0.595,0.58,0.585,5533200,0.585
2015-06-30,0.555,0.60,0.55,0.585,6402200,0.585
2015-06-29,0.565,0.575,0.545,0.555,3926000,0.555
2015-06-26,0.575,0.58,0.57,0.57,1055000,0.57
2015-06-25,0.585,0.585,0.575,0.575,462400,0.575
2015-06-24,0.59,0.60,0.585,0.59,308700,0.59
2015-06-23,0.61,0.62,0.59,0.59,1906600,0.59
2015-06-22,0.60,0.62,0.585,0.605,2730300,0.605
2015-06-19,0.57,0.605,0.565,0.60,2231400,0.60
2015-06-18,0.56,0.565,0.56,0.565,371200,0.565
2015-06-17,0.56,0.565,0.56,0.56,576500,0.56
2015-06-16,0.565,0.565,0.56,0.56,1471100,0.56
2015-06-15,0.57,0.57,0.565,0.565,1928400,0.565
2015-06-12,0.575,0.58,0.57,0.57,1558200,0.57
2015-06-11,0.59,0.59,0.575,0.575,1392600,0.575
2015-06-10,0.59,0.59,0.58,0.585,1086500,0.585
2015-06-09,0.585,0.60,0.575,0.60,1344200,0.60
2015-06-08,0.585,0.59,0.585,0.585,569600,0.585
