Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,0.40,0.41,0.40,0.41,21100,0.41
2015-08-17,0.42,0.42,0.42,0.42,100000,0.42
2015-08-14,0.45,0.45,0.42,0.42,202300,0.42
2015-08-13,0.435,0.45,0.435,0.45,643700,0.45
2015-08-12,0.445,0.45,0.415,0.435,1900700,0.435
2015-08-11,0.42,0.45,0.42,0.43,158900,0.43
2015-08-10,0.44,0.465,0.42,0.455,176100,0.455
2015-08-07,0.50,0.50,0.50,0.50,6000,0.50
2015-08-06,0.47,0.475,0.47,0.475,40900,0.475
2015-08-05,0.47,0.485,0.47,0.47,100000,0.47
2015-08-04,0.485,0.49,0.455,0.455,225400,0.455
2015-08-03,0.485,0.49,0.48,0.49,208600,0.49
2015-07-31,0.49,0.49,0.49,0.49,36800,0.49
2015-07-30,0.495,0.495,0.49,0.49,40000,0.49
2015-07-29,0.50,0.50,0.485,0.485,14000,0.485
2015-07-28,0.505,0.505,0.50,0.50,158000,0.50
2015-07-27,0.51,0.52,0.505,0.505,100000,0.505
2015-07-24,0.52,0.52,0.51,0.51,30000,0.51
2015-07-23,0.52,0.52,0.52,0.52,20500,0.52
2015-07-22,0.505,0.52,0.505,0.51,126700,0.51
2015-07-21,0.51,0.53,0.505,0.505,120000,0.505
2015-07-20,0.51,0.51,0.51,0.51,15000,0.51
2015-07-17,0.51,0.51,0.51,0.51,000,0.51
2015-07-16,0.51,0.51,0.51,0.51,000,0.51
2015-07-15,0.51,0.51,0.51,0.51,2000,0.51
2015-07-14,0.515,0.515,0.51,0.51,35000,0.51
2015-07-13,0.55,0.55,0.515,0.515,57100,0.515
2015-07-10,0.535,0.55,0.53,0.55,22000,0.55
2015-07-09,0.55,0.55,0.505,0.505,41700,0.505
2015-07-08,0.52,0.54,0.52,0.53,60000,0.53
2015-07-07,0.54,0.54,0.54,0.54,9000,0.54
2015-07-06,0.545,0.545,0.545,0.545,000,0.545
2015-07-03,0.545,0.545,0.53,0.545,27400,0.545
2015-07-02,0.55,0.55,0.55,0.55,000,0.55
2015-07-01,0.55,0.55,0.55,0.55,7000,0.55
2015-06-30,0.53,0.55,0.53,0.55,68200,0.55
2015-06-29,0.54,0.54,0.54,0.54,20000,0.54
2015-06-26,0.53,0.545,0.53,0.545,15000,0.545
2015-06-25,0.54,0.54,0.54,0.54,25000,0.54
2015-06-24,0.54,0.54,0.54,0.54,42300,0.54
2015-06-23,0.55,0.55,0.55,0.55,000,0.55
2015-06-22,0.52,0.55,0.52,0.55,40000,0.55
2015-06-19,0.53,0.53,0.53,0.53,3000,0.53
2015-06-18,0.53,0.53,0.53,0.53,000,0.53
2015-06-17,0.53,0.53,0.53,0.53,000,0.53
2015-06-16,0.53,0.53,0.53,0.53,000,0.53
2015-06-15,0.53,0.53,0.53,0.53,000,0.53
2015-06-12,0.53,0.53,0.53,0.53,28000,0.53
2015-06-11,0.56,0.56,0.56,0.56,15000,0.56
2015-06-10,0.52,0.52,0.52,0.52,000,0.52
2015-06-09,0.55,0.55,0.52,0.52,104500,0.52
2015-06-08,0.565,0.565,0.565,0.565,000,0.565
2015-06-05,0.565,0.565,0.565,0.565,10000,0.565
2015-06-04,0.575,0.575,0.575,0.575,20000,0.575
2015-06-03,0.60,0.60,0.57,0.57,10000,0.57
2015-06-02,0.56,0.56,0.56,0.56,000,0.56
2015-06-01,0.56,0.56,0.56,0.56,2000,0.56
2015-05-29,0.575,0.595,0.57,0.595,13500,0.595
2015-05-28,0.59,0.595,0.575,0.58,144000,0.58
2015-05-27,0.565,0.565,0.565,0.565,4400,0.565
2015-05-26,0.565,0.565,0.565,0.565,32000,0.565
2015-05-25,0.61,0.61,0.61,0.61,000,0.61
2015-05-22,0.61,0.61,0.61,0.61,000,0.61
2015-05-21,0.61,0.61,0.61,0.61,1000,0.61
2015-05-20,0.605,0.605,0.605,0.605,000,0.605
2015-05-19,0.605,0.605,0.605,0.605,000,0.605
2015-05-18,0.605,0.605,0.605,0.605,000,0.605
2015-05-15,0.605,0.605,0.605,0.605,000,0.605
2015-05-14,0.605,0.605,0.605,0.605,1000,0.605
2015-05-13,0.58,0.60,0.58,0.60,61000,0.60
2015-05-12,0.585,0.595,0.585,0.595,37800,0.595
2015-05-11,0.605,0.605,0.585,0.60,42000,0.60
2015-05-08,0.61,0.61,0.61,0.61,1000,0.61
2015-05-07,0.595,0.60,0.59,0.60,50000,0.60
2015-05-06,0.60,0.60,0.60,0.60,39000,0.60
2015-05-05,0.60,0.60,0.59,0.595,29000,0.595
2015-05-04,0.60,0.60,0.60,0.60,000,0.60
2015-05-01,0.60,0.60,0.60,0.60,000,0.60
2015-04-30,0.58,0.60,0.58,0.60,5500,0.60
2015-04-29,0.595,0.595,0.595,0.595,2000,0.595
2015-04-28,0.60,0.60,0.585,0.595,94800,0.595
2015-04-27,0.60,0.60,0.60,0.60,000,0.60
2015-04-24,0.60,0.60,0.60,0.60,64900,0.60
2015-04-23,0.62,0.62,0.60,0.60,192600,0.60
2015-04-22,0.615,0.62,0.585,0.60,252400,0.60
2015-04-21,0.615,0.615,0.615,0.615,000,0.615
2015-04-20,0.615,0.615,0.615,0.615,30000,0.615
2015-04-17,0.63,0.63,0.625,0.625,72000,0.625
2015-04-16,0.625,0.635,0.62,0.635,115000,0.635
2015-04-15,0.63,0.64,0.62,0.62,41000,0.62
2015-04-14,0.62,0.63,0.62,0.62,31000,0.62
2015-04-13,0.61,0.61,0.60,0.60,50000,0.60
2015-04-10,0.625,0.625,0.61,0.61,50000,0.61
2015-04-09,0.60,0.60,0.60,0.60,000,0.60
2015-04-08,0.62,0.62,0.60,0.60,15000,0.60
2015-04-07,0.62,0.62,0.62,0.62,000,0.62
2015-04-06,0.63,0.63,0.62,0.62,10000,0.62
2015-04-03,0.63,0.63,0.63,0.63,55000,0.63
2015-04-02,0.61,0.63,0.61,0.63,28000,0.63
2015-04-01,0.63,0.65,0.605,0.61,116000,0.61
2015-03-31,0.65,0.69,0.63,0.65,239500,0.65
2015-03-30,0.70,0.70,0.625,0.68,48100,0.68
2015-03-27,0.68,0.725,0.68,0.725,11000,0.725
2015-03-26,0.725,0.725,0.68,0.68,13000,0.68
2015-03-25,0.725,0.725,0.725,0.725,7000,0.725
2015-03-24,0.70,0.70,0.68,0.68,111000,0.68
2015-03-23,0.735,0.735,0.655,0.66,93000,0.66
2015-03-20,0.71,0.74,0.71,0.74,46000,0.74
2015-03-19,0.71,0.71,0.71,0.71,3000,0.71
2015-03-18,0.71,0.74,0.71,0.74,12100,0.74
2015-03-17,0.71,0.74,0.71,0.74,11000,0.74
2015-03-16,0.71,0.71,0.71,0.71,000,0.71
2015-03-13,0.71,0.71,0.71,0.71,200,0.71
2015-03-12,0.68,0.69,0.68,0.69,20000,0.69
2015-03-11,0.67,0.68,0.67,0.68,9000,0.68
2015-03-10,0.67,0.67,0.67,0.67,78000,0.67
2015-03-09,0.67,0.67,0.67,0.67,53000,0.67
2015-03-06,0.70,0.70,0.67,0.67,28000,0.67
2015-03-05,0.68,0.69,0.66,0.69,15000,0.69
2015-03-04,0.68,0.68,0.68,0.68,20000,0.68
2015-03-03,0.695,0.695,0.67,0.68,32000,0.68
2015-03-02,0.70,0.70,0.675,0.69,15000,0.69
2015-02-27,0.69,0.69,0.69,0.69,000,0.69
2015-02-26,0.675,0.69,0.675,0.69,29000,0.69
2015-02-25,0.675,0.70,0.675,0.69,42800,0.69
2015-02-24,0.67,0.70,0.67,0.70,104000,0.70
2015-02-23,0.69,0.71,0.69,0.71,4000,0.71
2015-02-20,0.72,0.72,0.72,0.72,000,0.72
2015-02-19,0.72,0.72,0.72,0.72,000,0.72
2015-02-18,0.72,0.72,0.72,0.72,000,0.72
2015-02-17,0.72,0.72,0.72,0.72,000,0.72
2015-02-16,0.75,0.75,0.68,0.72,31000,0.72
2015-02-13,0.68,0.68,0.68,0.68,1000,0.68
2015-02-12,0.73,0.73,0.73,0.73,000,0.73
2015-02-11,0.73,0.73,0.73,0.73,5000,0.73
2015-02-10,0.76,0.76,0.73,0.76,5900,0.76
2015-02-09,0.81,0.81,0.725,0.73,72900,0.73
2015-02-06,0.75,0.82,0.75,0.82,5800,0.82
2015-02-05,0.75,0.75,0.75,0.75,000,0.75
2015-02-04,0.75,0.75,0.75,0.75,000,0.75
2015-02-03,0.75,0.75,0.75,0.75,000,0.75
2015-02-02,0.75,0.75,0.75,0.75,000,0.75
2015-01-30,0.75,0.75,0.75,0.75,000,0.75
2015-01-29,0.75,0.75,0.75,0.75,1000,0.75
2015-01-28,0.73,0.73,0.73,0.73,500,0.73
2015-01-27,0.68,0.74,0.68,0.69,3700,0.69
2015-01-26,0.76,0.76,0.76,0.76,000,0.76
