Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,2.44,2.45,2.42,2.45,41100,2.45
2015-08-17,2.45,2.45,2.41,2.45,565200,2.45
2015-08-14,2.50,2.51,2.44,2.46,625600,2.46
2015-08-13,2.42,2.54,2.42,2.54,57900,2.54
2015-08-12,2.49,2.49,2.38,2.41,463900,2.41
2015-08-11,2.49,2.59,2.47,2.50,170000,2.50
2015-08-10,2.61,2.61,2.48,2.49,726500,2.49
2015-08-07,2.70,2.73,2.62,2.63,93900,2.63
2015-08-06,2.71,2.74,2.70,2.74,236200,2.74
2015-08-05,2.65,2.71,2.65,2.71,276600,2.71
2015-08-04,2.82,2.83,2.65,2.65,126100,2.65
2015-08-03,2.78,2.82,2.78,2.80,363500,2.80
2015-07-31,2.70,2.80,2.65,2.78,866600,2.78
2015-07-30,2.63,2.70,2.63,2.69,506700,2.69
2015-07-29,2.55,2.64,2.54,2.63,228400,2.63
2015-07-28,2.60,2.60,2.55,2.55,77000,2.55
2015-07-27,2.63,2.71,2.58,2.60,238900,2.60
2015-07-24,2.46,2.67,2.46,2.63,1132800,2.63
2015-07-23,2.42,2.46,2.41,2.46,1569200,2.46
2015-07-22,2.45,2.46,2.44,2.44,76900,2.44
2015-07-21,2.44,2.44,2.43,2.43,15400,2.43
2015-07-20,2.51,2.51,2.45,2.45,27700,2.45
2015-07-17,2.51,2.51,2.51,2.51,000,2.51
2015-07-16,2.51,2.52,2.51,2.51,18000,2.51
2015-07-15,2.53,2.53,2.48,2.51,121500,2.51
2015-07-14,2.51,2.53,2.48,2.53,365600,2.53
2015-07-13,2.41,2.48,2.40,2.47,186100,2.47
2015-07-10,2.35,2.41,2.35,2.41,129500,2.41
2015-07-09,2.44,2.44,2.33,2.34,37500,2.34
2015-07-08,2.44,2.44,2.28,2.29,244100,2.29
2015-07-07,2.47,2.47,2.42,2.43,144500,2.43
2015-07-06,2.46,2.48,2.46,2.47,60900,2.47
2015-07-03,2.51,2.52,2.46,2.51,379500,2.51
2015-07-02,2.47,2.54,2.47,2.51,361800,2.51
2015-07-01,2.45,2.50,2.45,2.46,172500,2.46
2015-06-30,2.42,2.43,2.40,2.42,135200,2.42
2015-06-29,2.46,2.46,2.36,2.42,300300,2.42
2015-06-26,2.48,2.51,2.47,2.47,341400,2.47
2015-06-25,2.45,2.51,2.42,2.49,367400,2.49
2015-06-24,2.42,2.50,2.42,2.45,213900,2.45
