Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,0.07,0.075,0.07,0.075,299100,0.075
2015-08-17,0.07,0.075,0.07,0.075,1876600,0.075
2015-08-14,0.075,0.075,0.07,0.075,267000,0.075
2015-08-13,0.075,0.075,0.075,0.075,498000,0.075
2015-08-12,0.075,0.08,0.075,0.08,1755000,0.08
2015-08-11,0.075,0.08,0.075,0.08,791000,0.08
2015-08-10,0.075,0.075,0.075,0.075,1571800,0.075
2015-08-07,0.075,0.08,0.075,0.08,439000,0.08
2015-08-06,0.08,0.08,0.08,0.08,1803500,0.08
2015-08-05,0.08,0.08,0.08,0.08,295000,0.08
2015-08-04,0.08,0.085,0.08,0.08,904200,0.08
2015-08-03,0.085,0.085,0.08,0.08,196600,0.08
2015-07-31,0.085,0.085,0.08,0.08,254000,0.08
2015-07-30,0.085,0.09,0.08,0.085,1133600,0.085
2015-07-29,0.085,0.085,0.08,0.085,910000,0.085
2015-07-28,0.09,0.09,0.085,0.085,1134300,0.085
2015-07-27,0.09,0.09,0.09,0.09,618300,0.09
2015-07-24,0.085,0.095,0.085,0.09,5967100,0.09
2015-07-23,0.08,0.085,0.08,0.085,144000,0.085
2015-07-22,0.08,0.08,0.08,0.08,577000,0.08
2015-07-21,0.08,0.085,0.08,0.085,56100,0.085
2015-07-20,0.08,0.08,0.075,0.08,1747000,0.08
2015-07-17,0.08,0.08,0.08,0.08,000,0.08
2015-07-16,0.08,0.08,0.08,0.08,10000,0.08
2015-07-15,0.08,0.085,0.08,0.08,1530400,0.08
2015-07-14,0.075,0.075,0.075,0.075,50000,0.075
2015-07-13,0.075,0.08,0.075,0.08,635200,0.08
2015-07-10,0.075,0.08,0.075,0.08,290100,0.08
2015-07-09,0.075,0.08,0.075,0.08,442000,0.08
2015-07-08,0.075,0.08,0.075,0.08,1896700,0.08
2015-07-07,0.075,0.08,0.075,0.08,155100,0.08
2015-07-06,0.08,0.08,0.075,0.08,130100,0.08
2015-07-03,0.08,0.08,0.08,0.08,834000,0.08
2015-07-02,0.08,0.08,0.08,0.08,278000,0.08
2015-07-01,0.08,0.085,0.08,0.085,365000,0.085
2015-06-30,0.08,0.08,0.08,0.08,175000,0.08
2015-06-29,0.08,0.085,0.075,0.085,2429100,0.085
2015-06-26,0.085,0.085,0.08,0.085,1112400,0.085
2015-06-25,0.085,0.085,0.08,0.085,1706000,0.085
2015-06-24,0.085,0.085,0.085,0.085,761300,0.085
2015-06-23,0.085,0.085,0.08,0.08,230000,0.08
2015-06-22,0.085,0.09,0.085,0.085,1606400,0.085
2015-06-19,0.08,0.085,0.08,0.085,808100,0.085
2015-06-18,0.085,0.09,0.08,0.085,1200800,0.085
2015-06-17,0.085,0.085,0.085,0.085,164600,0.085
2015-06-16,0.08,0.085,0.08,0.085,1367900,0.085
2015-06-15,0.085,0.085,0.08,0.08,270100,0.08
2015-06-12,0.085,0.09,0.085,0.09,274000,0.09
2015-06-11,0.085,0.085,0.085,0.085,232300,0.085
2015-06-10,0.085,0.09,0.085,0.09,625800,0.09
2015-06-09,0.085,0.085,0.08,0.085,464300,0.085
2015-06-08,0.08,0.085,0.08,0.085,849400,0.085
2015-06-05,0.085,0.085,0.085,0.085,558900,0.085
2015-06-04,0.085,0.09,0.085,0.085,1072800,0.085
2015-06-03,0.09,0.09,0.085,0.09,509100,0.09
2015-06-02,0.09,0.09,0.085,0.09,888500,0.09
2015-06-01,0.095,0.095,0.085,0.09,4595800,0.09
2015-05-29,0.10,0.105,0.10,0.105,1794700,0.105
2015-05-28,0.105,0.105,0.10,0.10,929700,0.10
2015-05-27,0.10,0.105,0.10,0.105,217000,0.105
2015-05-26,0.10,0.105,0.10,0.105,2308400,0.105
2015-05-25,0.10,0.10,0.10,0.10,1475000,0.10
2015-05-22,0.10,0.105,0.10,0.105,515200,0.105
2015-05-21,0.10,0.105,0.10,0.105,1824200,0.105
2015-05-20,0.10,0.105,0.10,0.10,386100,0.10
2015-05-19,0.10,0.10,0.10,0.10,184600,0.10
2015-05-18,0.105,0.105,0.10,0.105,896300,0.105
2015-05-15,0.10,0.10,0.10,0.10,691000,0.10
2015-05-14,0.105,0.105,0.10,0.105,1116200,0.105
2015-05-13,0.10,0.105,0.10,0.105,1271300,0.105
2015-05-12,0.10,0.10,0.10,0.10,1726200,0.10
2015-05-11,0.105,0.11,0.10,0.10,5300500,0.10
2015-05-08,0.105,0.105,0.10,0.10,339900,0.10
2015-05-07,0.10,0.105,0.10,0.105,583200,0.105
2015-05-06,0.105,0.105,0.10,0.10,973000,0.10
2015-05-05,0.10,0.10,0.095,0.10,2348700,0.10
2015-05-04,0.105,0.105,0.105,0.105,000,0.105
2015-05-01,0.105,0.105,0.105,0.105,000,0.105
2015-04-30,0.10,0.105,0.10,0.105,401000,0.105
2015-04-29,0.10,0.105,0.10,0.105,4321100,0.105
2015-04-28,0.105,0.11,0.10,0.10,3744700,0.10
2015-04-27,0.11,0.115,0.105,0.105,2153000,0.105
2015-04-24,0.11,0.115,0.11,0.115,3768900,0.115
2015-04-23,0.11,0.115,0.11,0.115,2363900,0.115
2015-04-22,0.11,0.115,0.11,0.115,6228300,0.115
2015-04-21,0.11,0.11,0.105,0.11,1030600,0.11
2015-04-20,0.11,0.11,0.105,0.11,735000,0.11
2015-04-17,0.11,0.115,0.11,0.11,11726100,0.11
2015-04-16,0.105,0.11,0.105,0.105,1694500,0.105
2015-04-15,0.105,0.11,0.105,0.11,782500,0.11
2015-04-14,0.105,0.11,0.105,0.11,36000,0.11
2015-04-13,0.105,0.11,0.105,0.11,4099500,0.11
2015-04-10,0.11,0.11,0.105,0.105,3226200,0.105
2015-04-09,0.11,0.115,0.105,0.105,3955000,0.105
2015-04-08,0.115,0.115,0.11,0.115,3262800,0.115
2015-04-07,0.11,0.115,0.11,0.115,6136700,0.115
2015-04-06,0.115,0.115,0.11,0.11,1013200,0.11
2015-04-03,0.115,0.12,0.11,0.115,6395000,0.115
