Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,0.195,0.24,0.195,0.22,7297100,0.22
2015-08-17,0.245,0.25,0.19,0.195,5138500,0.195
2015-08-14,0.28,0.285,0.255,0.255,2638700,0.255
2015-08-13,0.285,0.285,0.25,0.285,3973100,0.285
2015-08-12,0.245,0.31,0.23,0.265,14710400,0.265
2015-08-11,0.435,0.455,0.255,0.255,23750800,0.255
2015-08-10,0.44,0.45,0.42,0.425,10133700,0.425
2015-08-07,0.405,0.445,0.40,0.435,12546800,0.435
2015-08-06,0.415,0.425,0.395,0.41,13191200,0.41
2015-08-05,0.37,0.415,0.37,0.415,19801600,0.415
2015-08-04,0.37,0.385,0.365,0.375,5491900,0.375
2015-08-03,0.37,0.385,0.36,0.37,6149000,0.37
2015-07-31,0.345,0.38,0.335,0.37,13406300,0.37
2015-07-30,0.355,0.355,0.33,0.35,6019100,0.35
2015-07-29,0.33,0.365,0.325,0.35,25743200,0.35
2015-07-28,0.29,0.34,0.29,0.335,18282000,0.335
2015-07-27,0.275,0.30,0.275,0.29,10318200,0.29
2015-07-24,0.27,0.275,0.265,0.275,2003000,0.275
2015-07-23,0.275,0.28,0.27,0.27,1033500,0.27
2015-07-22,0.28,0.285,0.275,0.275,4691800,0.275
2015-07-21,0.265,0.28,0.265,0.28,5348600,0.28
2015-07-20,0.27,0.27,0.26,0.265,514700,0.265
2015-07-17,0.265,0.265,0.265,0.265,000,0.265
2015-07-16,0.26,0.265,0.26,0.265,324700,0.265
2015-07-15,0.275,0.28,0.265,0.27,2263100,0.27
2015-07-14,0.25,0.28,0.25,0.275,5995600,0.275
2015-07-13,0.25,0.255,0.245,0.25,1471300,0.25
2015-07-10,0.255,0.26,0.25,0.255,578700,0.255
2015-07-09,0.24,0.255,0.235,0.255,1300000,0.255
2015-07-08,0.255,0.26,0.24,0.245,2243600,0.245
2015-07-07,0.26,0.265,0.255,0.26,1969200,0.26
2015-07-06,0.26,0.265,0.255,0.265,2723300,0.265
2015-07-03,0.27,0.275,0.26,0.27,1573300,0.27
2015-07-02,0.27,0.27,0.265,0.27,2035000,0.27
2015-07-01,0.255,0.275,0.255,0.265,8943100,0.265
2015-06-30,0.24,0.255,0.24,0.255,1877900,0.255
2015-06-29,0.25,0.25,0.24,0.245,1437600,0.245
2015-06-26,0.25,0.26,0.245,0.255,1973000,0.255
2015-06-25,0.255,0.26,0.245,0.25,1536500,0.25
2015-06-24,0.255,0.265,0.25,0.255,2942800,0.255
2015-06-23,0.25,0.26,0.235,0.26,4536100,0.26
2015-06-22,0.235,0.25,0.235,0.25,4426900,0.25
2015-06-19,0.21,0.235,0.21,0.23,6809900,0.23
