Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,1.58,1.61,1.58,1.61,76300,1.61
2015-08-17,1.56,1.58,1.53,1.58,227100,1.58
2015-08-14,1.69,1.69,1.60,1.62,74800,1.62
2015-08-13,1.71,1.71,1.66,1.71,911900,1.71
2015-08-12,1.75,1.75,1.61,1.70,313200,1.70
2015-08-11,1.80,1.80,1.73,1.76,206500,1.76
2015-08-10,1.80,1.82,1.77,1.79,568100,1.79
2015-08-07,1.90,1.90,1.86,1.86,69000,1.86
2015-08-06,1.94,1.94,1.92,1.92,1165400,1.92
2015-08-05,1.91,1.94,1.91,1.94,358100,1.94
2015-08-04,1.92,1.93,1.92,1.93,11000,1.93
2015-08-03,1.94,1.94,1.94,1.94,5000,1.94
2015-07-31,1.93,1.99,1.93,1.98,255300,1.98
2015-07-30,1.93,1.94,1.93,1.94,84300,1.94
2015-07-29,1.90,1.93,1.90,1.93,221300,1.93
2015-07-28,1.95,1.95,1.90,1.91,479500,1.91
2015-07-27,1.96,1.99,1.95,1.96,321200,1.96
2015-07-24,2.00,2.01,1.99,2.00,44300,2.00
2015-07-23,2.01,2.01,2.00,2.01,158800,2.01
2015-07-22,1.98,2.01,1.98,2.01,489200,2.01
2015-07-21,1.96,1.99,1.96,1.98,45500,1.98
2015-07-20,1.97,2.01,1.97,1.99,155200,1.99
2015-07-17,1.97,1.97,1.97,1.97,000,1.97
2015-07-16,2.02,2.02,1.97,1.97,12500,1.97
2015-07-15,1.96,2.01,1.96,2.01,188600,2.01
2015-07-14,2.01,2.01,1.99,1.99,42900,1.99
2015-07-13,1.99,2.02,1.94,2.02,491300,2.02
2015-07-10,1.97,2.00,1.95,1.99,336200,1.99
2015-07-09,1.96,1.97,1.96,1.97,39300,1.97
2015-07-08,2.02,2.02,1.91,1.99,508400,1.99
2015-07-07,2.02,2.03,2.01,2.02,221300,2.02
2015-07-06,2.00,2.03,1.98,2.02,263800,2.02
2015-07-03,2.05,2.05,2.03,2.03,239600,2.03
2015-07-02,2.04,2.05,2.02,2.05,287200,2.05
2015-07-01,2.04,2.05,2.02,2.04,308600,2.04
2015-06-30,1.98,2.02,1.95,2.01,301300,2.01
2015-06-29,2.04,2.04,1.94,1.99,669200,1.99
2015-06-26,2.01,2.09,2.01,2.07,1067100,2.07
2015-06-25,2.02,2.05,1.98,2.04,845800,2.04
2015-06-24,1.98,2.02,1.97,2.01,2399800,2.01
2015-06-23,1.90,1.97,1.90,1.97,926200,1.97
2015-06-22,1.92,1.92,1.90,1.91,153100,1.91
2015-06-19,1.90,1.92,1.90,1.92,593100,1.92
2015-06-18,1.90,1.91,1.89,1.90,287900,1.90
2015-06-17,1.89,1.90,1.88,1.90,535200,1.90
2015-06-16,1.83,1.90,1.83,1.90,920600,1.90
2015-06-15,1.88,1.91,1.85,1.87,1314800,1.87
2015-06-12,1.92,1.92,1.88,1.89,302400,1.89
2015-06-11,1.82,1.94,1.82,1.93,1783200,1.93
2015-06-10,1.82,1.84,1.82,1.83,302400,1.83
2015-06-09,1.84,1.84,1.82,1.84,274500,1.84
2015-06-08,1.83,1.84,1.78,1.84,764600,1.84
2015-06-05,1.89,1.89,1.87,1.87,1408400,1.82
2015-06-04,1.87,1.91,1.87,1.89,1709700,1.83947
2015-06-03,1.85,1.87,1.85,1.87,1331800,1.82
2015-06-02,1.85,1.86,1.85,1.85,653000,1.80053
2015-06-01,1.84,1.87,1.84,1.85,879200,1.80053
2015-05-29,1.81,1.87,1.81,1.85,1980700,1.80053
2015-05-28,1.77,1.83,1.76,1.83,2506900,1.78107
2015-05-27,1.75,1.77,1.75,1.77,563600,1.72267
2015-05-26,1.71,1.76,1.71,1.76,494100,1.71294
2015-05-25,1.73,1.74,1.72,1.74,426000,1.69348
2015-05-22,1.74,1.75,1.73,1.75,1015800,1.70321
2015-05-21,1.70,1.76,1.70,1.74,1492800,1.69348
2015-05-20,1.68,1.70,1.68,1.70,259300,1.65455
2015-05-19,1.68,1.72,1.68,1.70,636500,1.65455
2015-05-18,1.68,1.70,1.67,1.67,147500,1.62535
2015-05-15,1.66,1.71,1.65,1.68,747300,1.63508
2015-05-14,1.62,1.64,1.62,1.64,27000,1.59615
2015-05-13,1.62,1.62,1.62,1.62,4100,1.57668
2015-05-12,1.61,1.62,1.61,1.62,179400,1.57668
2015-05-11,1.61,1.62,1.61,1.61,42800,1.56695
2015-05-08,1.62,1.66,1.62,1.62,203600,1.57668
2015-05-07,1.61,1.62,1.61,1.62,14800,1.57668
2015-05-06,1.60,1.61,1.59,1.60,31800,1.55722
2015-05-05,1.65,1.65,1.61,1.61,221300,1.56695
2015-05-04,1.65,1.65,1.65,1.65,000,1.60588
2015-05-01,1.65,1.65,1.65,1.65,000,1.60588
2015-04-30,1.62,1.65,1.62,1.65,334700,1.60588
2015-04-29,1.61,1.63,1.61,1.61,27400,1.56695
2015-04-28,1.63,1.63,1.61,1.62,100100,1.57668
2015-04-27,1.64,1.65,1.63,1.64,79900,1.59615
2015-04-24,1.64,1.64,1.64,1.64,000,1.59615
2015-04-23,1.65,1.65,1.64,1.64,185900,1.59615
2015-04-22,1.64,1.67,1.64,1.66,148100,1.61561
2015-04-21,1.67,1.67,1.65,1.67,54800,1.62535
2015-04-20,1.67,1.68,1.67,1.67,319700,1.62535
2015-04-17,1.65,1.68,1.65,1.67,599400,1.62535
2015-04-16,1.65,1.66,1.64,1.64,272000,1.59615
2015-04-15,1.58,1.66,1.58,1.65,2276600,1.60588
2015-04-14,1.58,1.58,1.56,1.58,88600,1.53775
2015-04-13,1.57,1.58,1.55,1.57,124900,1.52802
2015-04-10,1.55,1.56,1.54,1.54,462500,1.49882
2015-04-09,1.53,1.57,1.53,1.56,569000,1.51829
2015-04-08,1.53,1.53,1.51,1.52,216700,1.47936
2015-04-07,1.53,1.53,1.53,1.53,128000,1.48909
2015-04-06,1.52,1.55,1.52,1.55,58400,1.50856
2015-04-03,1.52,1.54,1.52,1.54,61600,1.49882
2015-04-02,1.54,1.54,1.53,1.53,58100,1.48909
2015-04-01,1.54,1.54,1.54,1.54,5000,1.49882
