Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,0.89,0.915,0.88,0.90,266600,0.90
2015-08-17,0.90,0.90,0.88,0.89,151300,0.89
2015-08-14,0.905,0.91,0.895,0.91,191400,0.91
2015-08-13,0.92,0.925,0.90,0.925,659200,0.925
2015-08-12,0.90,0.92,0.89,0.92,199000,0.92
2015-08-11,0.935,0.935,0.925,0.935,29000,0.935
2015-08-10,0.99,1.01,0.905,0.985,588300,0.985
2015-08-07,0.99,1.00,0.99,0.99,330600,0.99
2015-08-06,0.995,1.00,0.985,0.995,339600,0.995
2015-08-05,1.02,1.02,0.995,1.01,188200,1.01
2015-08-04,1.04,1.04,1.00,1.01,703200,1.01
2015-08-03,1.02,1.07,1.02,1.03,487400,1.03
2015-07-31,1.04,1.07,1.04,1.07,213000,1.07
2015-07-30,1.02,1.04,1.02,1.03,270000,1.03
2015-07-29,1.01,1.03,1.01,1.02,437800,1.02
2015-07-28,1.01,1.05,1.00,1.02,177800,1.02
2015-07-27,1.03,1.06,1.02,1.02,562100,1.02
2015-07-24,1.08,1.08,1.07,1.08,84000,1.08
2015-07-23,1.08,1.08,1.08,1.08,49200,1.08
2015-07-22,1.10,1.11,1.08,1.08,327900,1.08
2015-07-21,1.13,1.13,1.10,1.12,123000,1.12
2015-07-20,1.12,1.13,1.10,1.13,59200,1.13
2015-07-17,1.10,1.10,1.10,1.10,000,1.10
2015-07-16,1.10,1.10,1.10,1.10,2000,1.10
2015-07-15,1.12,1.12,1.12,1.12,53700,1.12
2015-07-14,1.14,1.14,1.11,1.12,67000,1.12
2015-07-13,1.10,1.15,1.10,1.15,90400,1.15
2015-07-10,1.09,1.13,1.09,1.11,305900,1.11
2015-07-09,1.05,1.08,1.05,1.08,296000,1.08
2015-07-08,1.15,1.15,1.03,1.06,430800,1.06
2015-07-07,1.18,1.18,1.15,1.15,234600,1.15
2015-07-06,1.20,1.20,1.17,1.18,199100,1.18
2015-07-03,1.23,1.24,1.22,1.23,217000,1.23
2015-07-02,1.25,1.27,1.24,1.25,105000,1.25
2015-07-01,1.20,1.23,1.20,1.23,281000,1.23
2015-06-30,1.19,1.19,1.19,1.19,84000,1.19
2015-06-29,1.20,1.20,1.17,1.20,92000,1.20
2015-06-26,1.23,1.23,1.20,1.20,157500,1.20
2015-06-25,1.23,1.24,1.21,1.23,254900,1.23
2015-06-24,1.22,1.24,1.22,1.24,148000,1.24
2015-06-23,1.19,1.20,1.18,1.20,174500,1.20
2015-06-22,1.21,1.22,1.16,1.18,604600,1.18
2015-06-19,1.21,1.22,1.20,1.21,543500,1.21
2015-06-18,1.23,1.25,1.21,1.21,500700,1.21
2015-06-17,1.26,1.26,1.24,1.24,130200,1.24
2015-06-16,1.27,1.27,1.25,1.26,82800,1.26
2015-06-15,1.27,1.27,1.25,1.27,651100,1.27
2015-06-12,1.26,1.27,1.25,1.27,178300,1.27
2015-06-11,1.30,1.30,1.26,1.26,619900,1.26
2015-06-10,1.28,1.30,1.28,1.29,799600,1.29
2015-06-09,1.34,1.35,1.28,1.28,747900,1.28
2015-06-08,1.38,1.39,1.35,1.35,196100,1.35
2015-06-05,1.39,1.39,1.37,1.38,49900,1.38
2015-06-04,1.40,1.40,1.38,1.38,73000,1.38
2015-06-03,1.40,1.40,1.38,1.40,571600,1.40
2015-06-02,1.42,1.42,1.40,1.40,250600,1.40
2015-06-01,1.40,1.42,1.40,1.42,1100,1.42
