('2014-01-07', 4)
('2014-01-10', 24)
('2014-01-08', 14)
('2014-01-09', 8)
('2014-01-14', 1)
('2014-01-17', 3)
('2014-01-16', 1)
('2014-01-11', 2)
('2014-01-10', 21)
('2014-01-13', 15)
('2014-01-12', 2)
('2014-01-19', 1)
('2014-01-18', 1)
('2014-01-20', 3)
('2014-02-07', 3)
('2014-02-13', 2)
('2014-02-11', 3)
('2014-02-20', 6)
('2014-01-28', 1)
('2014-01-29', 3)
('2014-02-12', 1)
('2014-02-04', 2)
('2014-02-14', 1)
('2014-02-01', 1)
('2014-02-19', 1)
('2014-01-20', 1)
('2014-01-21', 2)
('2014-01-22', 10)
('2014-01-23', 2)
('2014-01-24', 6)
('2014-01-25', 1)
('2014-01-26', 3)
('2014-02-22', 1)
('2014-03-17', 2)
('2014-03-15', 1)
('2014-03-31', 1)
('2014-03-05', 1)
('2014-03-19', 1)
('2014-03-18', 1)
('2014-03-27', 10)
('2014-04-20', 3)
('2014-03-03', 2)
('2014-04-16', 1)
('2014-04-04', 1)
('2014-04-13', 1)
('2014-04-10', 1)
('2014-04-11', 3)
('2014-02-25', 2)
('2014-02-24', 7)
('2014-04-18', 4)
('2014-02-26', 5)
('2014-03-20', 1)
('2014-02-23', 2)
('2014-04-24', 18)
('2014-04-23', 17)
('2014-04-22', 9)
('2014-04-21', 3)
('2014-04-20', 3)
('2014-04-26', 1)
('2014-04-25', 14)
('2014-04-24', 25)
('2014-04-29', 6)
('2014-04-28', 4)
('2014-05-08', 3)
('2014-04-29', 8)
('2014-04-30', 3)
('2014-05-01', 1)
('2014-05-06', 4)
('2014-05-07', 6)
('2014-05-05', 18)
('2014-05-02', 7)
('2014-05-08', 14)
('2014-05-09', 6)
('2014-05-13', 7)
('2014-05-12', 7)
('2014-05-15', 8)
('2014-05-14', 6)
('2014-05-16', 2)
('2014-05-19', 7)
('2014-05-20', 12)
('2014-05-21', 12)
('2014-05-22', 9)
('2014-05-23', 5)
('2014-05-16', 5)
('2014-05-31', 1)
('2014-05-30', 8)
('2014-05-28', 12)
('2014-05-29', 13)
('2014-05-24', 6)
('2014-05-25', 1)
('2014-05-26', 2)
('2014-05-27', 4)
('2014-05-23', 1)
('2014-06-02', 2)
('2014-06-03', 12)
('2014-06-02', 13)
('2014-06-06', 6)
('2014-06-05', 8)
('2014-06-04', 11)
('2014-06-10', 13)
